GSISID,Number,Position
28083,32,RB
28083,35,RB
28091,14,WR
28091,12,WR
28091,17,WR
28092,25,CB
28093,84,TE
28100,55,OLB
28100,56,OLB
28100,43,OLB
28102,23,CB
28103,92,OLB
28105,81,WR
28111,41,CB
28114,17,WR
28116,19,WR
28121,22,RB
28121,31w,RB
28121,28,RB
28121,6,RB
28121,31o,RB
28128,42,SS
28130,5,P
28133,55,OLB
28142,85,TE
28149,49,FB
28171,93,DT
28172,57,OLB
28172,54,OLB
28172,52,OLB
28173,38,SS
28198,44,RB
28198,41o,RB
28202,24,RB
28202,25o,RB
28202,25,RB
28224,25,CB
28237,15,WR
28238,49,TE
28249,15,WR
28249,16,WR
28249,10,WR
28249,11,WR
28256,70,DT
28256,96,DT
28263,18,WR
28278,57,ILB
28284,48,LS
28292,50,RB
28292,43,RB
28334,30,CB
28339,97,DE
28345,48,RB
28368,42,OLB
28368,49g,OLB
28368,56,OLB
28368,49d,OLB
28374,86,LS
28394,44,LS
28409,32,RB
28409,35,RB
28411,15,WR
28424,91,DT
28434,89,WR
28441,39,SS
28441,32,SS
28441,23,SS
28443,51,OLB
28443,57,OLB
28445,38,FS
28454,58,OLB
28454,55,OLB
28495,94,DE
28497,17,WR
28497,11,WR
28497,1,WR
28536,42,LB
28536,56,LB
28536,50,LB
28564,24,FS
28581,42,FB
28600,96,ILB
28601,27,SS
28620,94,OLB
28662,39,CB
28664,6,P
28698,53,OLB
28702,13,WR
28767,41,CB
28767,24,CB
28795,34,RB
28823,66,OLB
28825,11,WR
28834,52,OLB
28836,57,MLB
28838,84,TE
28845,47,LS
28846,25,FS
28872,6,P
28899,23,FS
28903,88,TE
28908,31,SS
28912,55,OLB
28918,89,WR
28924,39,FS
28932,54,ILB
28942,29,SS
28943,51,ILB
28943,58,ILB
28946,46,LS
28952,2,P
28954,20,SS
28954,21,SS
28958,46,TE
28979,90,LB
28987,89,TE
28994,85,TE
28995,87,WR
28996,35,CB
29000,11,WR
29004,25,RB
29008,47,LS
29010,65,G
29033,18,WR
29033,8,WR
29033,14,WR
29033,83,WR
29048,29,RB
29048,22,RB
29048,36,RB
29050,47,CB
29051,17,WR
29053,59,DE
29053,56,DE
29061,51,MLB
29065,29,CB
29065,41,CB
29068,40,FB
29087,24,CB
29087,23,CB
29091,79,T
29107,33,SS
29112,56,DE
29112,95,DE
29119,89,TE
29119,86,TE
29123,7,P
29129,10,WR
29129,8,WR
29129,81,WR
29130,54,OLB
29134,48,LS
29141,46,RB
29142,27,SS
29159,15,WR
29177,40D,SS
29177,40,SS
29191,35,CB
29193,51,DE
29205,39,RB
29205,38,RB
29208,95,DT
29212,59,OLB
29214,39,CB
29215,43,FS
29239,38,RB
29248,59,MLB
29250,58,OLB
29252,91,DE
29255,54,MLB
29257,94,DE
29261,26,CB
29269,12,WR
29272,53,OLB
29273,33,RB
29277,96,DE
29279,56,OLB
29280,33,CB
29287,59,ILB
29289,54,ILB
29289,56,ILB
29294,46,CB
29294,30,CB
29294,31d,CB
29294,31,CB
29295,20,CB
29297,39,FS
29298,30,RB
29299,23,CB
29303,97,DE
29304,3,P
29308,87,TE
29310,57,DE
29314,49,CB
29314,31,CB
29319,15,WR
29319,11,WR
29329,31,CB
29329,23,CB
29329,27,CB
29336,10,WR
29343,86,WR
29384,31,RB
29384,38,RB
29384,43,RB
29388,10,WR
29388,14,WR
29391,84,TE
29394,11,WR
29408,53,OLB
29409,95,OLB
29410,32,SS
29412,75,DE
29414,82,TE
29414,44,TE
29414,84,TE
29414,85,TE
29415,17,WR
29416,35,CB
29417,93,DE
29418,52,OLB
29422,37,FS
29440,47o,TE
29479,59,OLB
29492,49,FB
29493,9,P
29493,4,P
29510,34o,RB
29510,41,RB
29520,35,SS
29529,30,CB
29529,24,CB
29529,21,CB
29530,28,CB
29534,83,TE
29542,24,CB
29543,71,T
29545,57,OLB
29553,39,FS
29553,20,FS
29560,27,CB
29562,54,OLB
29566,53,ILB
29568,97,DT
29570,43,FS
29575,26,FS
29575,36,FS
29575,29,FS
29577,59,ILB
29578,46d,MLB
29578,57,MLB
29585,55,DE
29586,95,DE
29587,85,TE
29588,47,RB
29594,55,ILB
29600,50,DE
29601,82,TE
29606,22,FS
29607,56,OLB
29608,13,WR
29612,38o,RB
29612,38,RB
29612,43o,RB
29614,19,WR
29617,46,OLB
29620,54,ILB
29626,22,RB
29627,58,DT
29629,54,ILB
29630,90,DE
29634,84,TE
29639,30,CB
29640,83,WR
29641,98,DE
29643,59,OLB
29647,51,OLB
29653,91,DT
29657,96,DT
29658,38,CB
29658,30,CB
29660,16,WR
29660,87,WR
29669,54,OLB
29673,15,WR
29676,24,CB
29676,21,CB
29681,20,CB
29683,23,RB
29688,92,NT
29689,83,TE
29690,22,CB
29691,26,FS
29692,9,P
29693,54,DE
29696,31,CB
29696,37,CB
29697,82,TE
29714,48,LS
29714,49,LS
29729,46o,FB
29729,35,FB
29729,46,FB
29731,43,RB
29738,87,TE
29739,5,P
29739,10,P
29740,80,TE
29744,45,ILB
29744,57,ILB
29747,31,FS
29747,37,FS
29747,32,FS
29755,87,TE
29764,38,FS
29770,54,ILB
29792,55,OLB
29792,58,OLB
29793,85,TE
29793,86,TE
29794,53,ILB
29794,56,ILB
29795,26,RB
29795,30,RB
29795,23,RB
29795,26o,RB
29799,55,DE
29799,56,DE
29815,46d,OLB
29815,51,OLB
29815,47,OLB
29818,1,WR
29825,27,CB
29829,28,CB
29844,57,OLB
29848,15,WR
29869,51,ILB
29876,38,CB
29878,48,TE
29879,47,LS
29888,35,CB
29888,26,CB
29888,23,CB
29890,64,NT
29892,44,FB
29898,01d,CB
29901,5,CB
29901,30,CB
29910,82,TE
29931,48,FB
29931,39o,FB
29931,42,FB
29934,14,WR
29942,28,CB
29942,20,CB
29942,26,CB
29946,95,NT
29955,53,OLB
29958,25,FS
29958,30,FS
29958,23,FS
29959,46,LS
29972,64,DT
29975,42,FS
29975,42d,FS
29977,38,RB
29979,58,OLB
29981,16,DB
29981,37,DB
29984,6,P
29999,44,TE
30000,10,WR
30000,84,WR
30010,51,OLB
30020,41,FS
30023,37,SS
30025,96,DT
30027,49d,OLB
30033,52,OLB
30034,85,WR
30035,19,WR
30039,30,RB
30039,30o,RB
30041,23,CB
30041,21,CB
30048,90,DE
30049,89,TE
30049,87,TE
30050,54,OLB
30050,55,OLB
30059,94,DE
30060,32,SS
30061,86,TE
30062,23,CB
30064,57,ILB
30069,58,DE
30069,97,DE
30070,73,DT
30072,79,DT
30073,31,SS
30073,27,SS
30074,69,T
30079,98,DE
30080,42,SS
30080,28,SS
30084,36,SS
30087,30,SS
30088,92,NT
30089,82,TE
30090,23,SS
30090,33,SS
30091,15,WR
30091,12,WR
30092,6,P
30093,60,DT
30095,11,WR
30100,55,ILB
30101,59d,OLB
30101,59,OLB
30104,50,ILB
30106,93,DT
30106,52,DT
30109,53,OLB
30109,48,OLB
30112,40,FB
30113,12,WR
30114,33,FS
30114,21,FS
30117,33,RB
30117,33O,RB
30119,49,ILB
30119,94,ILB
30119,58,ILB
30119,97,ILB
30120,1,RB
30121,95,DE
30124,48,MLB
30127,31,CB
30127,41,CB
30129,48,TE
30131,40d,OLB
30131,40,OLB
30131,49,OLB
30132,96,DT
30135,19,WR
30140,5,P
30142,9,P
30147,89,WR
30147,19,WR
30148,71,NT
30153,42,DB
30154,14,WR
30154,85,WR
30155,84,TE
30160,95,OLB
30161,30,SS
30170,45,FS
30171,85,TE
30171,86,TE
30181,84,TE
30187,86,WR
30187,19,WR
30196,38,SS
30197,44,OLB
30210,47,MLB
30210,55,MLB
30216,89,TE
30228,21,CB
30235,46,OLB
30240,7,WR
30240,16,WR
30241,95,OLB
30246,52,ILB
30247,37o,RB
30247,38o,RB
30247,38,RB
30251,96,DE
30263,34d,CB
30263,38,CB
30263,31,CB
30272,49o,TE
30273,65,G
30274,19,WR
30274,16,WR
30275,30,CB
30278,51,ILB
30280,34,RB
30281,53,OLB
30282,30,RB
30282,30o,RB
30283,23,CB
30283,41,CB
30283,21,CB
30286,58,OLB
30287,38,RB
30287,38o,RB
30288,33,RB
30288,34o,RB
30288,34,RB
30289,30,SS
30290,17,WR
30290,83,WR
30294,23,SS
30294,22,SS
30300,13,WR
30312,37,SS
30314,57,LB
30317,20,FS
30317,47,FS
30317,43,FS
30317,36,FS
30322,29,CB
30322,36,CB
30371,44d,DE
30371,44,DE
30380,93,DE
30382,51,MLB
30383,30,SS
30384,53,OLB
30384,44,OLB
30385,50,ILB
30385,51,ILB
30386,92,DE
30387,51,DE
30391,25,RB
30392,56,MLB
30395,35,FS
30395,20,FS
30396,50,OLB
30396,56,OLB
30400,15,WR
30401,47,OLB
30402,97,DT
30403,30,CB
30403,28,CB
30403,38,CB
30404,25o,RB
30405,9,P
30405,18,P
30410,3,P
30411,26,CB
30412,29,SS
30412,25,SS
30414,32,RB
30421,51,OLB
30421,91,OLB
30424,54,DE
30425,95,DE
30425,71,DE
30427,36,FS
30432,32,RB
30433,35,RB
30434,98,ILB
30435,37,CB
30442,51,DE
30443,80,TE
30448,99,DT
30449,94,DT
30449,99,DT
30449,92,DT
30450,11,WR
30451,25,CB
30451,39d,CB
30451,35,CB
30455,98,DT
30456,25,RB
30457,95,DE
30458,44,OLB
30458,59,OLB
30459,32,FS
30463,53,OLB
30463,56,OLB
30465,38,RB
30465,24,RB
30465,34,RB
30469,39,CB
30469,35,CB
30469,27,CB
30470,89,TE
30471,36,SS
30474,17,WR
30474,82,WR
30484,21,CB
30484,27,CB
30487,27,CB
30487,29,CB
30488,95,LB
30491,24,SS
30491,39,SS
30499,95,OLB
30502,50,OLB
30502,47,OLB
30502,52,OLB
30503,57,DE
30504,71,G
30507,96,NT
30511,98,DT
30514,81,TE
30515,92,DE
30516,19,WR
30517,51,OLB
30517,47,OLB
30518,96,DE
30518,44,DE
30518,52,DE
30519,31,CB
30519,39,CB
30519,4,CB
30519,04d,CB
30521,17,WR
30523,36,CB
30523,21,CB
30525,11,WR
30527,52,ILB
30528,23,CB
30529,54,ILB
30529,55,ILB
30529,51,ILB
30530,25,SS
30530,22,SS
30535,42d,CB
30538,37,SS
30539,27,CB
30539,21,CB
30541,38,CB
30541,25,CB
30541,33,CB
30543,27,SS
30544,89,TE
30547,16,RB
30548,35,SS
30551,6,P
30555,95,DE
30556,37,CB
30556,23,CB
30557,45,SS
30557,26,SS
30558,52,OLB
30558,51,OLB
30559,26,SS
30559,33,SS
30562,21,CB
30563,45,OLB
30566,36,FS
30572,31,CB
30572,25,CB
30573,91,DT
30574,73,DT
30575,29,CB
30576,56,DT
30576,95,DT
30577,96,DT
30577,92,DT
30578,84,WR
30579,75,T
30592,27,CB
30615,41,LS
30634,49,OLB
30634,49m,OLB
30640,36,SS
30640,46,SS
30644,43,S
30644,35,S
30650,41,OLB
30650,35,OLB
30656,34,RB
30659,17,WR
30659,10,WR
30663,83,WR
30665,49,SS
30668,35,RB
30669,12,WR
30670,16,WR
30671,9,WR
30671,89,WR
30675,22,CB
30675,25,CB
30682,37,FS
30682,27,FS
30685,33,RB
30687,53,OLB
30687,45,OLB
30687,54,OLB
30691,88,WR
30691,17,WR
30695,46,DB
30695,26,DB
30696,9,P
30697,98,DT
30699,29,CB
30699,27,CB
30699,30,CB
30700,54,ILB
30703,44,CB
30703,29,CB
30705,40,RB
30707,86,TE
30709,83,WR
30710,88,TE
30710,47,TE
30711,32o,RB
30711,32,RB
30734,47,CB
30734,39d,CB
30734,39,CB
30737,16,WR
30740,33,S
30741,45,FB
30743,18,WR
30743,15,WR
30743,17,WR
30752,91,OLB
30756,43o,RB
30757,98,NT
30758,80,TE
30761,48,ILB
30767,31,SS
30767,23,SS
30768,46,ILB
30768,46d,ILB
30768,56,ILB
30769,34,FS
30770,52,MLB
30770,50,MLB
30776,72,DE
30780,89,TE
30785,49,FB
30786,38,RB
30789,26,RB
30792,64,G
30797,87,WR
30801,16,WR
30802,20,CB
30802,41d,CB
30805,85,TE
30806,85,TE
30807,6,WR
30807,81,WR
30822,83,TE
30826,47,CB
30826,43d,CB
30828,86,T
30832,45,TE
30836,42d,DB
30854,86,TE
30856,12,WR
30860,26,RB
30864,75,DE
30864,97,DE
30871,78,DT
30874,26,RB
30881,95,OLB
30881,57,OLB
30883,97,DT
30892,69,DT
30896,7,K
30897,6,WR
30914,83,WR
30916,36,SS
30917,43,CB
30921,95,DT
30932,16,WR
30946,61,DE
30957,42,LS
30963,35,CB
30963,38,CB
30963,35d,CB
30968,41,FB
30982,39,CB
30982,47,CB
30982,38,CB
30986,93,DT
30990,15,WR
30990,13,WR
30993,59,OLB
30994,90,NT
31000,57,OLB
31000,51,OLB
31001,83,WR
31009,1,WR
31009,18,WR
31015,23,CB
31016,31,CB
31016,37,CB
31018,59,ILB
31018,52,ILB
31019,63,C
31020,27,CB
31020,40,CB
31021,84,WR
31021,10,WR
31023,81,WR
31025,12,WR
31025,15,WR
31026,58,ILB
31027,49,OLB
31035,85,TE
31039,53,C
31040,52,OLB
31041,23,CB
31042,88,TE
31044,87,TE
31048,93,DT
31050,96,OLB
31051,12,WR
31052,26,CB
31054,90,DE
31055,44,RB
31056,84,WR
31057,25,RB
31057,25o,RB
31058,45,ILB
31058,54,ILB
31058,53,ILB
31059,28,FS
31059,34d,FS
31059,42,FS
31060,13,WR
31061,36,CB
31062,28,RB
31063,25,FS
31063,43,FS
31065,94,DE
31066,34,RB
31068,14,WR
31070,29,FS
31071,97,DT
31072,40,SS
31072,42,SS
31075,28,RB
31079,16,P
31080,39,CB
31081,91,DE
31084,37,LB
31084,47,LB
31085,45,FB
31087,29,FS
31089,94,DT
31090,25,CB
31090,24,CB
31097,39,CB
31097,38,CB
31098,39,FS
31101,48,OLB
31102,35,RB
31102,39,RB
31102,26,RB
31103,98,DT
31105,94,DE
31105,92,DE
31112,5,K
31113,75o,T
31116,38d,CB
31118,10,WR
31119,33d,CB
31119,40,CB
31120,53,MLB
31121,85,TE
31121,82,TE
31123,24o,RB
31130,52,OLB
31138,53,ILB
31140,81,TE
31140,83,TE
31151,20,CB
31151,40,CB
31155,40,MLB
31156,69,LS
31156,48,LS
31158,25,RB
31158,34,RB
31161,59,OLB
31161,50,OLB
31166,10,WR
31167,80,TE
31170,93,DT
31171,52,MLB
31172,99,DT
31173,26,SS
31175,54,DE
31175,91,DE
31175,55,DE
31176,24,CB
31177,96,DE
31181,37,SS
31186,27,CB
31186,25,CB
31186,20,CB
31186,27d,CB
31188,24,CB
31189,13,WR
31190,36o,RB
31193,93,NT
31196,52,OLB
31208,57,DE
31208,40,DE
31208,42,DE
31208,58,DE
31209,34,RB
31209,32o,RB
31218,21,CB
31228,18,WR
31232,21,CB
31232,32,CB
31232,30,CB
31235,13,WR
31236,10,WR
31239,38,CB
31241,59,OLB
31242,93,DT
31243,27,RB
31243,36,RB
31244,58,OLB
31253,24,CB
31254,96,DT
31255,96,OLB
31255,91,OLB
31256,55,OLB
31257,10,WR
31258,97,OLB
31259,22,CB
31260,82,TE
31261,33,FS
31262,25,CB
31262,23,CB
31263,54,ILB
31264,98,DE
31264,94,DE
31267,40,SS
31267,32,SS
31268,19,WR
31269,38,CB
31270,96,NT
31271,40o,FB
31272,31,S
31273,84,TE
31276,23,CB
31276,37d,CB
31277,32,RB
31281,77,DT
31284,64,C
31286,49o,TE
31290,59,MLB
31290,53,MLB
31291,86,WR
31296,57,ILB
31297,55,OLB
31298,25,CB
31300,93,DE
31304,93,DE
31304,94,DE
31307,35,SS
31308,58,ILB
31308,57,ILB
31309,50,OLB
31312,39,FS
31312,30,FS
31313,58,MLB
31313,59,MLB
31313,52,MLB
31315,14,WR
31315,15,WR
31316,49d,LB
31317,78,DE
31326,10,WR
31326,12,WR
31327,81,WR
31328,25,CB
31328,35d,CB
31328,35,CB
31328,37,CB
31331,35,CB
31331,26,CB
31331,28,CB
31331,40,CB
31332,33,RB
31332,33o,RB
31333,21,FS
31334,22,CB
31336,94,DE
31338,31,SS
31338,29,SS
31338,23,SS
31338,24,SS
31339,10,WR
31343,29,SS
31343,25,SS
31344,14,WR
31346,78,DT
31347,39,FS
31348,59,ILB
31349,61,C
31350,52,ILB
31352,9,CB
31354,57,ILB
31357,42,CB
31357,29,CB
31360,53,OLB
31361,58,OLB
31363,3,P
31363,08d,P
31363,5,P
31364,90,OLB
31365,50,ILB
31366,20,ILB
31371,90,DE
31371,97,DE
31372,29,CB
31376,21,RB
31380,21,CB
31382,14,WR
31383,41,CB
31383,37,CB
31384,82,TE
31388,99,DT
31389,20,FS
31390,34o,RB
31393,31,SS
31394,28,CB
31394,33,CB
31397,36,SS
31397,25,SS
31397,24,SS
31404,31,SS
31411,90,DE
31412,91,DE
31413,20O,RB
31414,36,CB
31414,23,CB
31414,30,CB
31414,33,CB
31418,87,TE
31418,88,TE
31420,2,P
31420,9,P
31425,91,OLB
31427,51,ILB
31431,11,WR
31433,70,G
31438,21,CB
31438,24,CB
31459,28,RB
31462,84,TE
31462,86,TE
31474,40,CB
31482,47,OLB
31482,43d,OLB
31484,86,TE
31484,82,TE
31487,19,WR
31491,52,ILB
31502,4,P
31504,17,WR
31506,19,WR
31509,54,OLB
31509,44,OLB
31511,11,WR
31511,18,WR
31512,35,FS
31514,11,WR
31518,40,OLB
31521,37,CB
31521,44,CB
31521,20,CB
31525,48,LB
31525,49,LB
31531,40o,RB
31531,35o,RB
31533,86,TE
31542,50,LB
31546,26,CB
31548,30,CB
31549,13,WR
31549,17,WR
31550,54,OLB
31551,91,NT
31552,32,CB
31553,55,ILB
31554,54,MLB
31555,32,CB
31555,25,CB
31556,44,DE
31557,97,DT
31558,87,TE
31559,37,SS
31560,11,WR
31562,58,DE
31563,33,CB
31564,55,OLB
31565,99,DE
31566,98,DE
31570,14,WR
31570,16,WR
31571,26,SS
31574,97,DT
31576,90,OLB
31577,37,RB
31578,47,ILB
31583,97,DT
31584,38,FS
31585,83,TE
31585,80,TE
31586,22,FS
31587,28,CB
31588,14,WR
31590,23,RB
31591,41,DB
31592,54,DT
31594,36,CB
31595,46,FB
31595,46o,FB
31596,55,MLB
31597,33,CB
31597,21,CB
31598,86,TE
31599,34,RB
31600,12,WR
31602,46,MLB
31606,41,DB
31607,96,DE
31608,28,SS
31609,83,TE
31609,86,TE
31610,84,TE
31612,22,FB
31613,56,LB
31614,57,OLB
31614,58,OLB
31616,58,ILB
31617,86,TE
31619,95,DE
31620,93,NT
31624,53,OLB
31624,51,OLB
31625,22,RB
31625,35o,RB
31625,35,RB
31628,27,CB
31628,27d,CB
31629,28,SS
31629,36,SS
31630,25,CB
31630,38d,CB
31635,14,WR
31645,10,WR
31653,60d,DT
31657,27,FS
31657,43,FS
31660,49,TE
31661,45,OLB
31665,34,RB
31666,44,OLB
31673,30d,CB
31676,94,DT
31678,40,SS
31678,25,SS
31679,14,WR
31680,27,SS
31680,39,SS
31680,35,SS
31682,28,RB
31683,38d,CB
31684,14,WR
31686,60,DE
31687,25,RB
31687,31,RB
31687,35,RB
31687,31o,RB
31688,22,CB
31688,35d,CB
31690,83,TE
31693,96,DT
31696,50,ILB
31697,87,WR
31700,35d,CB
31702,59,ILB
31704,53,ILB
31706,47o,FB
31706,47,FB
31707,50,ILB
31710,16,WR
31711,84,TE
31713,94,DT
31716,4,P
31719,45,MLB
31723,44,LB
31728,49,ILB
31728,56,ILB
31728,59,ILB
31729,57,OLB
31729,50,OLB
31731,30,RB
31732,86,TE
31733,30,CB
31733,41,CB
31738,36,SS
31738,39,SS
31740,46,ILB
31743,31,RB
31743,33,RB
31744,81,TE
31746,41,RB
31747,14,WR
31753,22,CB
31754,37,FS
31754,22D,FS
31754,32D,FS
31754,31,FS
31755,28,SS
31756,39d,S
31756,39,S
31757,8,WR
31757,13,WR
31762,45,OLB
31763,14,WR
31768,33O,RB
31768,37,RB
31768,37o,RB
31768,25,RB
31770,28d,S
31770,28,S
31773,47,CB
31782,17,WR
31785,32,CB
31787,84,WR
31788,88,TE
31790,41,S
31791,52,MLB
31793,39,RB
31793,35,RB
31793,38,RB
31793,39o,RB
31796,28,CB
31796,22,CB
31799,41,FS
31801,11,WR
31801,18,WR
31803,49,FB
31806,39,RB
31806,34o,RB
31806,34,RB
31810,40,CB
31811,42d,S
31811,42,S
31813,45,FB
31814,96,OLB
31815,50,OLB
31815,52,OLB
31815,55,OLB
31818,15,WR
31818,12,WR
31826,38,RB
31826,43,RB
31829,36,CB
31829,23,CB
31831,85,TE
31834,18,WR
31835,45d,OLB
31838,45d,LB
31843,91,DE
31844,22d,SS
31844,22,SS
31845,36,S
31846,16,WR
31847,53,OLB
31847,49,OLB
31847,52,OLB
31847,50,OLB
31854,14,WR
31856,36,OLB
31856,36d,OLB
31857,39,CB
31859,94,OLB
31860,37,FS
31861,43,FB
31862,49d,ILB
31862,49,ILB
31862,49g,ILB
31864,86,TE
31866,79,DE
31867,50,S
31868,18,WR
31870,29,SS
31871,71,OLB
31871,71d,OLB
31875,32,RB
31876,6,P
31876,2,P
31878,31,CB
31878,40,CB
31882,43,SS
31884,85,TE
31884,82,TE
31885,35,RB
31890,53d,OLB
31894,38,S
31895,42,SS
31895,43d,SS
31895,40,SS
31900,45,RB
31902,58,ILB
31904,37,CB
31907,39,CB
31911,45,LS
31911,59,LS
31912,81,WR
31913,18,WR
31914,72,DT
31915,53,ILB
31919,23,SS
31922,82,TE
